PassengerId,Survived
892,3
893,3
894,3
895,3
896,2
897,3
898,3
899,1
900,3
901,2
902,3
903,2
904,1
905,1
906,1
907,1
908,2
909,3
910,3
911,3
912,1
913,3
914,1
915,1
916,1
917,2
918,1
919,3
920,1
921,3
922,2
923,2
924,3
925,3
926,1
927,3
928,3
929,3
930,3
931,3
932,2
933,1
934,3
935,2
936,1
937,3
938,1
939,3
940,1
941,3
942,1
943,2
944,2
945,1
946,3
947,3
948,3
949,3
950,3
951,1
952,3
953,2
954,3
955,3
956,1
957,3
958,3
959,1
960,1
961,1
962,3
963,3
964,3
965,1
966,1
967,1
968,3
969,1
970,2
971,3
972,3
973,1
974,2
975,3
976,2
977,3
978,3
979,3
980,3
981,2
982,2
983,3
984,1
985,3
986,2
987,3
988,1
989,3
990,3
991,3
992,1
993,2
994,3
995,3
996,3
997,3
998,3
999,3
1000,3
1001,2
1002,2
1003,3
1004,2
1005,3
1006,1
1007,3
1008,3
1009,3
1010,1
1011,2
1012,3
1013,3
1014,1
1015,3
1016,3
1017,3
1018,3
1019,3
1020,2
1021,3
1022,3
1023,1
1024,3
1025,3
1026,3
1027,3
1028,3
1029,2
1030,3
1031,3
1032,2
1033,1
1034,1
1035,2
1036,1
1037,3
1038,1
1039,3
1040,1
1041,2
1042,1
1043,3
1045,2
1046,3
1047,3
1048,1
1049,3
1050,1
1051,2
1052,3
1053,3
1054,2
1055,3
1056,2
1057,3
1058,1
1059,2
1060,1
1061,3
1062,3
1063,3
1064,2
1065,3
1066,3
1067,2
1068,2
1069,1
1070,2
1071,1
1072,2
1073,1
1074,1
1075,3
1076,1
1077,2
1078,2
1079,3
1080,3
1081,2
1082,2
1083,1
1084,3
1085,2
1086,3
1087,3
1088,1
1089,3
1090,2
1091,3
1092,3
1093,2
1094,1
1095,2
1096,2
1097,1
1098,3
1099,2
1100,1
1101,3
1102,3
1103,3
1104,2
1105,1
1106,3
1107,3
1108,3
1109,1
1110,1
1111,3
1112,2
1113,3
1114,2
1115,3
1116,1
1117,3
1118,3
1119,3
1120,2
1121,2
1122,1
1123,1
1124,3
1125,3
1126,1
1127,3
1128,1
1129,3
1130,2
1131,1
1132,1
1133,1
1134,1
1135,3
1136,3
1137,1
1138,2
1139,3
1140,2
1141,3
1142,2
1143,3
1144,1
1145,3
1146,3
1147,3
1148,3
1149,3
1150,2
1151,3
1152,3
1153,3
1154,2
1155,3
1156,2
1157,3
1158,2
1159,3
1160,3
1161,3
1162,1
1163,3
1164,1
1165,3
1166,3
1167,2
1168,2
1169,2
1170,2
1171,2
1172,3
1173,3
1174,3
1175,3
1176,3
1177,3
1178,3
1179,1
1180,3
1181,3
1182,1
1183,3
1184,3
1185,1
1186,3
1187,3
1188,3
1189,3
1190,2
1191,3
1192,3
1193,2
1194,2
1195,3
1196,3
1197,1
1198,1
1199,3
1200,1
1201,3
1202,3
1203,3
1204,3
1205,3
1206,1
1207,3
1208,1
1209,2
1210,3
1211,2
1212,3
1213,3
1214,2
1215,1
1216,1
1217,3
1218,2
1219,1
1220,2
1221,2
1222,1
1223,1
1224,3
1225,3
1226,3
1227,2
1228,2
1229,3
1230,2
1231,3
1232,2
1233,3
1234,3
1235,1
1236,3
1237,3
1238,2
1239,3
1240,2
1241,2
1242,1
1243,2
1244,2
1245,2
1246,3
1247,2
1248,1
1249,3
1250,3
1251,3
1252,1
1253,2
1254,2
1255,3
1256,1
1257,3
1258,3
1259,2
1260,1
1261,2
1262,2
1263,1
1264,3
1265,2
1266,1
1267,1
1268,3
1269,2
1270,1
1271,3
1272,3
1273,3
1274,3
1275,3
1276,2
1277,1
1278,3
1279,2
1280,3
1281,3
1282,1
1283,1
1284,3
1285,2
1286,3
1287,1
1288,3
1289,1
1290,3
1291,3
1292,1
1293,2
1294,1
1295,1
1296,1
1297,2
1298,2
1299,1
1300,3
1301,3
1302,3
1303,1
1304,3
1305,3
1306,1
1307,3
1308,3
1309,3
